Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Population
USA,"101,376,401","1,110,028","98,618,128","1,648,245","334,805,269"
India,"44,676,368","530,658","44,140,592","5,118","1,406,631,776"
France,"38,612,758","160,008","37,332,264","1,120,486","65,584,518"
Germany,"36,812,671","159,177","36,135,500","517,994","83,883,596"
Brazil,"35,659,520","691,021","34,436,602","531,897","215,353,593"
S. Korea,"27,841,001","31,128","26,806,741","1,003,132","51,329,899"
Japan,"26,309,153","52,043","20,855,168","5,401,942","125,584,838"
Italy,"24,709,404","182,419","24,003,910","523,075","60,262,770"
UK,"24,053,576","197,723","23,780,918","74,935","68,497,907"
Russia,"21,677,505","392,720","21,073,454","211,331","145,805,947"
Turkey,"17,042,722","101,492",N/A,N/A,"85,561,976"
Spain,"13,632,635","116,422","13,422,605","93,608","46,719,142"
Vietnam,"11,521,388","43,179","10,609,783","868,426","98,953,541"
Australia,"10,866,876","16,482","10,546,102","304,292","26,068,792"
Argentina,"9,766,975","130,041","9,593,883","43,051","46,010,234"
Netherlands,"8,550,311","22,936","8,506,187","21,188","17,211,447"
Taiwan,"8,498,195","14,722","8,196,233","287,240","23,888,595"
Iran,"7,560,247","144,658","7,335,537","80,052","86,022,837"
Mexico,"7,156,730","330,667","6,412,560","413,503","131,562,772"
Indonesia,"6,702,132","160,287","6,506,007","35,838","279,134,505"
Poland,"6,358,786","118,389","5,335,940","904,457","37,739,785"
Colombia,"6,323,357","141,943","6,145,467","35,947","51,512,762"
Austria,"5,622,037","21,272","5,553,453","47,312","9,066,710"
Portugal,"5,549,479","25,584","5,508,283","15,612","10,140,570"
Greece,"5,448,700","34,482","5,389,069","25,149","10,316,637"
Ukraine,"5,346,094","110,640","5,224,688","10,766","43,192,122"
Malaysia,"5,012,483","36,778","4,958,158","17,547","33,181,072"
Chile,"4,963,204","62,749","4,883,016","17,439","19,250,195"
DPRK,"4,772,813",74,"4,772,739",0,"25,990,679"
Israel,"4,741,241","11,920","4,715,756","13,565","9,326,000"
Thailand,"4,715,489","33,392","4,649,509","32,588","70,078,203"
Belgium,"4,654,473","33,133","4,590,848","30,492","11,668,278"
Czechia,"4,568,993","41,971","4,518,124","8,898","10,736,784"
Canada,"4,440,839","48,353","4,328,717","63,769","38,388,419"
Peru,"4,362,281","217,679","4,034,726","109,876","33,684,208"
Switzerland,"4,335,513","14,343","4,256,594","64,576","8,773,637"
Philippines,"4,050,866","64,921","3,967,929","18,016","112,508,994"
South Africa,"4,045,472","102,550","3,912,506","30,416","60,756,135"
Romania,"3,301,662","67,310","3,227,137","7,215","19,031,335"
Denmark,"3,154,696","7,596","3,138,856","8,244","5,834,950"
Sweden,"2,640,369","21,202","2,599,541","19,626","10,218,971"
Iraq,"2,464,375","25,366","2,437,963","1,046","42,164,965"
Serbia,"2,431,472","17,449","2,403,360","10,663","8,653,016"
Hong Kong,"2,275,447","11,021","1,941,909","322,517","7,604,299"
Singapore,"2,181,788","1,707","2,107,392","72,689","5,943,546"
Hungary,"2,171,056","48,337","2,109,635","13,084","9,606,259"
Bangladesh,"2,036,825","29,437","1,986,486","20,902","167,885,689"
New Zealand,"2,019,685","3,371","1,977,388","38,926","4,898,203"
Slovakia,"1,857,373","20,770","1,835,063","1,540","5,460,193"
Georgia,"1,807,654","16,888","1,776,548","14,218","3,968,738"
Jordan,"1,746,997","14,122","1,731,007","1,868","10,300,869"
Ireland,"1,680,548","8,159","1,668,728","3,661","5,020,199"
Pakistan,"1,575,487","30,635","1,538,689","6,163","229,488,994"
Norway,"1,471,132","4,498","1,463,921","2,713","5,511,370"
Finland,"1,417,909","7,572","1,382,174","28,163","5,554,960"
Kazakhstan,"1,398,965","13,694","1,383,020","2,251","19,205,043"
Bulgaria,"1,289,255","38,067","1,246,685","4,503","6,844,597"
Lithuania,"1,280,625","9,442","1,264,162","7,021","2,661,708"
Slovenia,"1,279,297","6,955","1,247,936","24,406","2,078,034"
Morocco,"1,270,318","16,289","1,253,151",878,"37,772,756"
Croatia,"1,257,412","17,427","1,237,680","2,305","4,059,286"
Lebanon,"1,221,273","10,741","1,087,587","122,945","6,684,849"
Guatemala,"1,172,149","19,964","1,137,329","14,856","18,584,039"
Costa Rica,"1,148,914","9,046","860,711","279,157","5,182,354"
Tunisia,"1,147,282","29,272",N/A,N/A,"12,046,656"
Bolivia,"1,120,512","22,253","1,080,013","18,246","11,992,656"
Cuba,"1,111,569","8,530","1,102,903",136,"11,305,652"
UAE,"1,045,708","2,348","1,026,651","16,709","10,081,785"
Ecuador,"1,024,914","35,940","974,018","14,956","18,113,361"
Panama,"1,009,252","8,533","991,093","9,626","4,446,964"
Nepal,"1,000,941","12,019","988,905",17,"30,225,582"
